,words_in_pesna,count
0,114,3
1,64,5
2,99,5
3,177,1
4,19,4
5,60,8
6,18,2
7,82,2
8,94,2
9,68,10
10,43,5
11,156,2
12,291,1
13,105,5
14,55,8
15,95,7
16,73,10
17,74,6
18,70,5
19,44,6
20,81,5
21,54,9
22,58,4
23,51,5
24,40,10
25,78,6
26,75,2
27,113,3
28,79,5
29,49,8
30,34,3
31,23,5
32,61,9
33,46,5
34,121,1
35,36,5
36,22,4
37,41,7
38,50,12
39,93,6
40,85,5
41,45,10
42,62,7
43,126,3
44,109,2
45,597,1
46,96,3
47,57,5
48,103,5
49,53,9
50,26,4
51,100,5
52,52,5
53,35,4
54,67,8
55,91,3
56,176,2
57,491,1
58,122,1
59,69,2
60,120,2
61,88,4
62,129,2
63,89,4
64,83,6
65,42,10
66,38,6
67,110,3
68,165,1
69,115,2
70,21,5
71,33,3
72,192,1
73,568,1
74,71,6
75,86,3
76,47,5
77,199,1
78,101,2
79,63,3
80,124,1
81,544,1
82,56,7
83,39,7
84,20,1
85,37,4
86,28,3
87,92,5
88,239,1
89,572,1
90,125,1
91,1638,1
92,90,2
93,72,5
94,168,2
95,222,1
96,24,3
97,201,1
98,763,1
99,104,1
100,252,1
101,134,1
102,160,1
103,563,1
104,32,5
105,153,3
106,402,1
107,130,1
108,117,1
109,59,6
110,245,1
111,84,1
112,154,1
113,98,2
114,242,2
115,66,3
116,116,1
117,163,1
118,76,5
119,31,5
120,181,1
121,208,1
122,119,2
123,17,1
124,80,2
125,29,2
126,106,2
127,97,3
128,65,2
129,297,1
130,15,3
131,141,1
132,170,1
133,13,1
134,108,2
135,229,1
136,137,2
137,25,2
138,133,2
139,579,1
140,102,2
141,226,1
142,48,4
143,535,1
144,7,1
145,111,1
146,215,1
147,581,1
148,107,2
149,397,1
150,146,1
151,30,1
152,27,1
153,147,1
154,167,1
155,394,1
156,112,1
157,416,1
158,149,1
159,87,1
160,132,1
161,253,1
162,180,1
163,273,1
164,135,1
165,190,1
